# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.9400,1.2250,0.4500,0.4500
-0.9400,1.2750,0.5000,0.5000
-0.9400,1.3250,0.5500,0.5500
-0.9400,1.3750,0.6000,0.6000
-0.9400,1.4250,0.6500,0.6500
-0.9400,1.4750,0.7000,0.7000
-0.9400,1.5250,0.7500,0.7500
-0.9400,1.5750,0.8000,0.8000
-0.9400,1.6250,0.8500,0.8500
-0.9400,1.6750,0.8500,0.8500
-0.9400,1.7250,0.8500,0.8500
-0.9400,1.7750,0.8500,0.8500
-0.9400,1.8250,0.8500,0.8500
-0.9400,1.8750,0.8500,0.8500
-0.9400,1.9250,0.8500,0.8500
-0.9400,1.9750,0.8500,0.8500
-0.9400,1.9750,0.8500,0.8500
-0.9400,2.0250,0.8500,0.8500
-0.8900,2.0750,0.9000,0.9000
-0.8900,2.1250,0.8631,0.8631
-0.8400,2.1750,0.8062,0.8062
-0.7900,2.2250,0.7517,0.7517
-0.7400,2.2750,0.7000,0.7000
-0.6900,2.2750,0.7018,0.7018
-0.6400,2.2750,0.7071,0.7071
-0.5900,2.2750,0.7018,0.7018
-0.5400,2.2750,0.7000,0.7000
-0.4900,2.2750,0.7018,0.7018
-0.4400,2.2750,0.7071,0.7071
-0.3900,2.3250,0.6671,0.6671
-0.3400,2.3250,0.6801,0.6801
-0.2900,2.3250,0.6964,0.6964
-0.2400,2.3250,0.7159,0.7159
-0.1900,2.3250,0.7382,0.7382
-0.1400,2.3250,0.7632,0.7632
-0.0900,2.3250,0.7906,0.7906
-0.0400,2.3250,0.8000,0.8000
0.0100,2.3250,0.8000,0.8000
0.0600,2.3250,0.8000,0.8000
0.1100,2.2750,0.7500,0.7500
0.1600,2.2750,0.7500,0.7500
0.2100,2.2750,0.7500,0.7500
0.2600,2.2750,0.7500,0.7500
0.3100,2.2750,0.7500,0.7500
0.3600,2.2750,0.7500,0.7500
0.4100,2.2750,0.7500,0.7500
0.4600,2.2750,0.7517,0.7517
0.5100,2.2750,0.7566,0.7566
0.5600,2.2750,0.7649,0.7649
0.6100,2.2750,0.7762,0.7762
0.6600,2.2750,0.7906,0.7906
0.7100,2.2750,0.8000,0.8000
0.7600,2.2750,0.8000,0.8000
0.8100,2.2750,0.8000,0.8000
0.8600,2.2750,0.8000,0.8000
0.9100,2.2750,0.8000,0.8000
0.9600,2.2750,0.8000,0.8000
1.0100,2.2750,0.8000,0.8000
1.0600,2.2750,0.8016,0.8016
