x,y,curvature
113,22,0.0
114,22,0.0
115,22,0.25
116,22,0.17888543819998318
117,21,0.17888543819998318
118,21,0.25
119,21,0.0
120,21,0.0
121,21,0.0
122,21,0.0
123,21,0.0
124,21,0.0
125,21,0.0
126,21,0.0
127,21,0.0
128,21,0.0
129,21,0.0
130,21,0.0
131,21,0.0
132,21,0.0
133,21,0.0
134,21,0.0
135,21,0.0
136,21,0.0
137,21,0.0
138,21,0.0
139,21,0.0
140,21,0.0
141,21,0.0
142,21,0.0
143,21,0.0
144,21,0.0
145,21,0.0
146,21,0.0
147,21,0.0
148,21,0.0
149,21,0.0
150,21,0.0
151,21,0.0
152,21,0.0
153,21,0.0
154,21,0.0
155,21,0.0
156,21,0.0
157,21,0.25
158,21,0.17888543819998318
159,20,0.35777087639996635
160,20,0.35777087639996635
161,21,0.17888543819998318
162,21,0.25
163,21,0.0
164,21,0.0
165,21,0.0
166,21,0.0
167,21,0.0
168,21,0.0
169,21,0.0
170,21,0.0
171,21,0.0
172,21,0.0
173,21,0.0
174,21,0.0
175,21,0.0
176,21,0.0
177,21,0.0
178,21,0.0
179,21,0.0
180,21,0.0
181,21,0.0
182,21,0.0
183,21,0.0
184,21,0.0
185,21,0.0
186,21,0.0
187,21,0.0
188,21,0.0
189,21,0.0
190,21,0.0
191,21,0.0
192,21,0.0
193,21,0.0
194,21,0.0
195,21,0.0
196,21,0.0
197,21,0.0
198,21,0.0
199,21,0.0
200,21,0.0
201,21,0.0
202,21,0.0
203,21,0.0
204,21,0.0
205,21,0.0
206,21,0.0
207,21,0.0
208,21,0.0
209,21,0.0
210,21,0.0
211,21,0.0
212,21,0.0
213,21,0.0
214,21,0.0
215,21,0.0
216,21,0.0
217,21,0.0
218,21,0.0
219,21,0.0
220,21,0.0
221,21,0.0
222,21,0.0
223,21,0.0
224,21,0.0
225,21,0.0
226,21,0.25
227,21,0.17888543819998318
228,22,0.17888543819998318
229,22,0.25
230,22,0.0
231,22,0.25
232,22,5.7345843147549914e-05
101,21,0.0001686399243444958
100,20,11.402096846633079
99,19,0.35777087639996635
98,19,0.25
97,19,0.0
96,19,0.0
95,19,0.0
94,19,0.0
93,19,0.0
92,19,0.0
91,19,0.0
90,19,0.25
89,19,0.17888543819998318
88,20,0.17888543819998318
87,20,0.25
86,20,0.0
85,20,0.25
84,20,0.17888543819998318
83,21,0.0
82,21,0.17888543819998318
81,22,0.08838834764831843
80,23,0.08838834764831843
79,24,0.35777087639996635
79,25,0.25
79,26,0.0
79,27,0.0
79,28,0.0
79,29,0.0
79,30,0.0
79,31,0.0
79,32,0.0
79,33,0.0
79,34,0.0
79,35,0.0
79,36,0.0
79,37,0.0
79,38,0.25
79,39,0.35777087639996635
80,40,0.08838834764831843
81,41,0.0
82,42,0.0
83,43,0.0
84,44,0.0
85,45,0.0
86,46,11.755650237226352
87,47,0.0001616102674973467
234,61,0.00016893070529395916
233,60,11.755650237226352
232,59,0.0
231,58,0.0
230,57,0.0
229,56,0.0
228,55,0.0
227,54,0.08838834764831843
226,53,0.35777087639996635
226,52,0.25
226,51,0.0
226,50,0.0
226,49,0.0
226,48,0.0
226,47,0.25
226,46,0.17888543819998318
225,45,0.17888543819998318
225,44,0.25
225,43,0.0
225,42,0.0
225,41,0.0
225,40,0.25
225,39,0.17888543819998318
226,38,0.17888543819998318
226,37,0.0
226,36,0.35777087639996635
227,35,0.08838834764831843
228,34,0.0
229,33,0.0
230,32,0.0
231,31,0.08838834764831843
232,30,0.35777087639996635
233,30,0.06708203932499368
234,26,0.08944271909999159
235,26,2.0
