s_m,x_m,y_m
1087.648986,177.532947,67.026281
1090.653541,179.281014,69.469954
1093.658096,181.029379,71.913427
1096.662651,182.779512,74.355609
1099.667207,184.530245,76.797359
1102.671762,186.280065,79.239771
1105.676317,188.029174,81.682679
1108.680872,189.778919,84.125147
1111.685428,191.531300,86.565713
1114.689983,193.285938,89.004662
1117.694538,195.039856,91.444129
1120.699093,196.788591,93.887312
1123.703648,198.528170,96.337028
1126.708204,200.255680,98.795262
1129.712759,201.968352,101.263860
1132.717314,203.663594,103.744415
1135.721869,205.339538,106.238091
1138.726424,206.996473,108.744456
1141.730980,208.636114,111.262170
1144.735535,210.260424,113.789803
1147.740090,211.870384,116.326571
1150.744645,213.463211,118.874121
1153.749200,215.033737,121.435454
1156.753756,216.578548,124.012381
1159.758311,218.095988,126.605519
1162.762866,219.584633,129.215302
1165.767421,221.048482,131.839112
1168.771977,222.495017,134.472520
1171.776532,223.931658,137.111284
1174.781087,225.363267,139.752791
1177.785642,226.793894,142.394873
1180.790197,228.228258,145.034886
1183.794753,229.669303,147.671268
1186.799308,231.115013,150.305125
1189.803863,232.560902,152.938887
1192.808418,234.004268,155.574033
1195.812973,235.445791,158.210195
1198.817529,236.886640,160.846718
1201.822084,238.325320,163.484434
1204.826639,239.760522,166.124036
1207.831194,241.193363,168.764900
1210.835749,242.624966,171.406455
1213.840305,244.053592,174.049605
1216.844860,245.477591,176.695249
1219.849415,246.895996,179.343917
1222.853970,248.308089,181.995954
1225.858525,249.713662,184.651441
1228.863081,251.111505,187.310974
1231.867636,252.499069,189.975930
1234.872191,253.872578,192.648118
1237.876746,255.224225,195.331461
1240.881302,256.542326,198.031458
1243.885857,257.807086,200.756733
1246.890412,258.989424,203.518719
1249.894967,260.053894,206.328059
1252.899522,260.954761,209.193792
1255.904078,261.635094,212.119415
1258.908633,262.031531,215.095952
1261.913188,262.085618,218.097608
1264.917743,261.749918,221.080813
1267.922298,260.993930,223.985586
1270.926854,259.809865,226.743496
1273.931409,258.214419,229.286149
1276.935964,256.245959,231.552208
1279.940519,253.955638,233.491605
1282.945074,251.403152,235.070589
1285.949630,248.653823,236.275279
1288.954185,245.770688,237.112603
1291.958740,242.809054,237.609350
1294.963295,239.811760,237.802621
1297.967851,236.809011,237.732242
1300.972406,233.819347,237.437573
1303.976961,230.854315,236.954464
1306.981516,227.918749,236.315497
1309.986071,225.013548,235.549919
1312.990627,222.137987,234.679288
1315.995182,219.290786,233.719888
1318.999737,216.470651,232.683794
1322.004292,213.677265,231.577622
1325.008847,210.910822,230.405562
1328.013403,208.171855,229.170518
1331.017958,205.461586,227.873726
1334.022513,202.782593,226.513627
1337.027068,200.139117,225.085815
1340.031623,197.533454,223.590013
1343.036179,194.965179,222.030864
1346.040734,192.433697,220.412624
1349.045289,189.938333,218.739303
1352.049844,187.477100,217.016108
1355.054400,185.045808,215.250918
1358.058955,182.639065,213.452328
1361.063510,180.253978,211.625215
1364.068065,177.889227,209.771829
1367.072620,175.544031,207.893724
1370.077176,173.218558,205.991233
1373.081731,170.912613,204.065136
1376.086286,168.625614,202.116578
1379.090841,166.356768,200.146967
1382.095396,164.104724,198.158252
1385.099952,161.867675,196.152594
1388.104507,159.644794,194.131206
1391.109062,157.434400,192.096147
1394.113617,155.234022,190.050253
1397.118172,153.040958,187.996539
1400.122728,150.854438,185.935860
1403.127283,148.674897,183.867806
1406.131838,146.502058,181.792704
1409.136393,144.335510,179.711027
1412.140948,142.175293,177.622796
1415.145504,140.021270,175.528150
1418.150059,137.873937,173.426675
1421.154614,135.733972,171.317671
1424.159169,133.601479,169.201138
1427.163725,131.476246,167.077288
1430.168280,129.358268,164.946230
1433.172835,127.247687,162.807877
1436.177390,125.144599,160.662121
1439.181945,123.049425,158.508649
1442.186501,120.961079,156.348603
1445.191056,118.880264,154.181228
1448.195611,116.806508,152.007110
1451.200166,114.738148,149.827855
1454.204721,112.675669,147.643014
1457.209277,110.620946,145.450928
1460.213832,108.574093,143.251544
1463.218387,106.533737,141.046097
1466.222942,104.500066,138.834435
1469.227497,102.474393,136.615455
1472.232053,100.456543,134.389327
1475.236608,98.446505,132.156180
1478.241163,96.445869,129.914595
1481.245718,94.455352,127.664015
1484.250274,92.474085,125.405289
1487.254829,90.500023,123.140265
1490.259384,88.531016,120.870839
1493.263939,86.565367,118.598495
1496.268494,84.602467,116.323785
1499.273050,82.643054,114.046055
1502.277605,80.688834,111.763870
1505.282160,78.742413,109.475052
1508.286715,76.806095,107.177691
1511.291270,74.882204,104.869908
1514.295826,72.972280,102.550535
1517.300381,71.075348,100.220540
1520.304936,69.188659,97.882221
1523.309491,67.310126,95.537341
1526.314046,65.438723,93.186765
1529.318602,63.574906,90.830171
1532.323157,61.720840,88.465901
1535.327712,59.879815,86.091465
1538.332267,58.055538,83.704149
1541.336822,56.251337,81.301625
1544.341378,54.469340,78.882596
1547.345933,52.709958,76.447061
1550.350488,50.971672,73.996421
1553.355043,49.251197,71.533237
1556.359599,47.543887,69.060905
1559.364154,45.844443,66.583156
1562.368709,44.148391,64.103083
1565.373264,42.452985,61.622570
1568.377819,40.757616,59.142030
1571.382375,39.063843,56.660400
1574.386930,37.375121,54.175332
1577.391485,35.695950,51.683803
1580.396040,34.030701,49.182954
1583.400595,32.382986,46.670523
1586.405151,30.755491,44.144946
1589.409706,29.149832,41.605433
1592.414261,27.566390,39.052009
1595.418816,26.004711,36.485215
1598.423371,24.463995,33.905777
1601.427927,22.943304,31.314485
1604.432482,21.441600,28.712141
1607.437037,19.958214,26.099311
1610.441592,18.492760,23.476382
1613.446148,17.045041,20.843624
1616.450703,15.615098,18.201167
1619.455258,14.202869,15.549202
1622.459813,12.807926,12.888106
1625.464368,11.429465,10.218431
1628.468924,10.066769,7.540674
1631.473479,8.719511,4.855116
1634.478034,7.387572,2.161927
1637.482589,6.071021,-0.538816
1640.487144,4.769948,-3.247049
1643.491700,3.484046,-5.962519
1646.496255,2.212345,-8.684670
1649.500810,0.953434,-11.412761
1652.505365,-0.293921,-14.146156
1655.509920,-1.530132,-16.884609
1658.514476,-2.754387,-19.628427
1661.519031,-3.964682,-22.378430
1664.523586,-5.158454,-25.135643
1667.528141,-6.333453,-27.900906
1670.532697,-7.488345,-30.674624
1673.537252,-8.623131,-33.456630
1676.541807,-9.739137,-36.246225
1679.546362,-10.838686,-39.042350
1682.550917,-11.924875,-41.843694
1685.555473,-13.001240,-44.648829
1688.560028,-14.070794,-47.456569
1691.564583,-15.135506,-50.266150
1694.569138,-16.196070,-53.077298
1697.573693,-17.251839,-55.890251
1700.578249,-18.301027,-58.705663
1703.582804,-19.340886,-61.524533
1706.587359,-20.368352,-64.347942
1709.591914,-21.380905,-67.176733
1712.596469,-22.376674,-70.011474
1715.601025,-23.353923,-72.852652
1718.605580,-24.311309,-75.700584
1721.610135,-25.247749,-78.555471
1724.614690,-26.162372,-81.417422
1727.619245,-27.054726,-84.286390
1730.623801,-27.925242,-87.162061
1733.628356,-28.775001,-90.043936
1736.632911,-29.605120,-92.931535
1739.637466,-30.416326,-95.824504
1742.642022,-31.209552,-98.722454
1745.646577,-31.985654,-101.625039
1748.651132,-32.744120,-104.532278
1751.655687,-33.482345,-107.444725
1754.660242,-34.197030,-110.363036
1757.664798,-34.884048,-113.287979
1760.669353,-35.537733,-116.220540
1763.673908,-36.151376,-119.161732
1766.678463,-36.717868,-122.112354
1769.683018,-37.231521,-125.072617
1772.687574,-37.689310,-128.042027
1775.692129,-38.091768,-131.019449
1778.696684,-38.443527,-134.003300
1781.701239,-38.753259,-136.991825
1784.705794,-39.033046,-139.983319
1787.710350,-39.295777,-142.976365
1790.714905,-39.552848,-145.969902
1793.719460,-39.812265,-148.963234
1796.724015,-40.076618,-151.956135
1799.728571,-40.342785,-154.948877
1802.733126,-40.603373,-157.942110
1805.737681,-40.847979,-160.936685
1808.742236,-41.064787,-163.933394
1811.746791,-41.241871,-166.932701
1814.751347,-41.367177,-169.934595
1817.755902,-41.427789,-172.938469
1820.760457,-41.409432,-175.942881
1823.765012,-41.296095,-178.945158
1826.769567,-41.070019,-181.940985
1829.774123,-40.712261,-184.923872
1832.778678,-40.203632,-187.884682
1835.783233,-39.525411,-190.811165
1838.787788,-38.659739,-193.687623
1841.792343,-37.591498,-196.495044
1844.796899,-36.310096,-199.211474
1847.801454,-34.809778,-201.813465
1850.806009,-33.088783,-204.274742
